--- Trace Log Iniciado ---
[1763823424.831778] [Estudante 01] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823424.831790] [Estudante 02] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823424.831797] [Estudante 03] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823424.850617] [Estudante 03] REQ_ENTRY       | Eat:0 Wait:0 | Tentando sentar
[1763823424.850690] [Estudante 03] WAIT_ENTRY      | Eat:0 Wait:1 | Aguardando par
[1763823424.864883] [Estudante 02] REQ_ENTRY       | Eat:0 Wait:1 | Tentando sentar
[1763823424.864938] [Estudante 02] ENTERED         | Eat:1 Wait:1 | Conseguiu mesa
[1763823424.864956] [Estudante 02] EATING          | Eat:1 Wait:1 | Comendo
[1763823424.864961] [Estudante 03] ENTERED         | Eat:2 Wait:0 | Conseguiu mesa
[1763823424.864990] [Estudante 03] EATING          | Eat:2 Wait:0 | Comendo
[1763823424.864997] [Estudante 01] REQ_ENTRY       | Eat:2 Wait:0 | Tentando sentar
[1763823424.865027] [Estudante 01] ENTERED         | Eat:3 Wait:0 | Conseguiu mesa
[1763823424.865038] [Estudante 01] EATING          | Eat:3 Wait:0 | Comendo
[1763823424.877517] [Estudante 03] REQ_LEAVE       | Eat:3 Wait:0 | Tentando sair
[1763823424.877553] [Estudante 03] LEFT            | Eat:2 Wait:0 | Saiu do refeitório
[1763823424.877565] [Estudante 03] GET_FOOD        | Eat:2 Wait:0 | Pegando comida
[1763823424.884216] [Estudante 01] REQ_LEAVE       | Eat:2 Wait:0 | Tentando sair
[1763823424.884285] [Estudante 01] WAIT_LEAVE      | Eat:2 Wait:0 | Esperando par para sair (Barreira)
[1763823424.898838] [Estudante 03] REQ_ENTRY       | Eat:2 Wait:0 | Tentando sentar
[1763823424.898879] [Estudante 03] ENTERED         | Eat:3 Wait:0 | Conseguiu mesa
[1763823424.898896] [Estudante 03] EATING          | Eat:3 Wait:0 | Comendo
[1763823424.915801] [Estudante 02] REQ_LEAVE       | Eat:3 Wait:0 | Tentando sair
[1763823424.915879] [Estudante 02] LEFT            | Eat:2 Wait:0 | Saiu do refeitório
[1763823424.915909] [Estudante 02] GET_FOOD        | Eat:2 Wait:0 | Pegando comida
[1763823424.940920] [Estudante 03] REQ_LEAVE       | Eat:2 Wait:0 | Tentando sair
[1763823424.940949] [Estudante 03] WAIT_LEAVE      | Eat:2 Wait:0 | Esperando par para sair (Barreira)
[1763823424.940957] [Estudante 03] LEFT            | Eat:1 Wait:0 | Saiu do refeitório
[1763823424.940969] [Estudante 03] GET_FOOD        | Eat:1 Wait:0 | Pegando comida
[1763823424.940974] [Estudante 01] LEFT            | Eat:0 Wait:0 | Saiu do refeitório
[1763823424.940998] [Estudante 01] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823424.949940] [Estudante 02] REQ_ENTRY       | Eat:0 Wait:0 | Tentando sentar
